Incident angle	s Reflectance	p Reflectance
3.0	0.7870375116	0.7864102953
3.5	0.7876454144	0.7865353206
4.0	0.7884526739	0.7873464219
4.5	0.7894635163	0.7878517601
5.0	0.7904919728	0.7884345736
5.5	0.7915316261	0.7886280571
6.0	0.7927263109	0.7895576449
6.5	0.7940948703	0.7905810210
7.0	0.7953896227	0.7911903436
7.5	0.7969545116	0.7924526411
8.0	0.7984545799	0.7930876679
8.5	0.8002148192	0.7937548193
9.0	0.8018998034	0.7948597566
9.5	0.8036661152	0.7956659431
10.0	0.8056605110	0.7975687483
10.5	0.8075795154	0.7981332493
11.0	0.8095238413	0.7988733666
11.5	0.8116417161	0.8001596020
12.0	0.8137438651	0.8020496187
12.5	0.8158684575	0.8030755158
13.0	0.8179935101	0.8037448774
13.5	0.8201624481	0.8053321794
14.0	0.8224461993	0.8062591885
14.5	0.8246988265	0.8078850164
15.0	0.8270175594	0.8089090532
15.5	0.8293610373	0.8102487208
16.0	0.8316172161	0.8116589725
16.5	0.8339742089	0.8132063624
17.0	0.8362903546	0.8141312057
17.5	0.8386346089	0.8161010078
18.0	0.8409213306	0.8175169679
18.5	0.8432061633	0.8187597652
19.0	0.8455298876	0.8200300145
19.5	0.8477308690	0.8212589130
20.0	0.8500108721	0.8231912701
