Incident angle	s Reflectance	p Reflectance
3	0.9922587813	0.9931393615
3.5	0.9923204677	0.9930828019
4	0.9923434769	0.9930171519
4.5	0.9924171586	0.9930009733
5	0.9924044919	0.9930372876
5.5	0.9923961148	0.9931511603
6	0.9923831216	0.9931613422
6.5	0.9923322555	0.9932520147
7	0.9922337434	0.9933445039
7.5	0.9923299124	0.9933206975
8	0.9923707723	0.9933325840
8.5	0.9923759053	0.9933465695
9	0.9925001930	0.9932190613
9.5	0.9925140724	0.9932568749
10	0.9925165302	0.9932738987
10.5	0.9924674439	0.9932968851
11	0.9925606815	0.9933711993
11.5	0.9924399391	0.9934280482
12	0.9924942301	0.9934175452
12.5	0.9924359911	0.9934647487
13	0.9925182319	0.9934283833
13.5	0.9925686826	0.9933448241
14	0.9925653310	0.9933278534
14.5	0.9926494417	0.9932212216
15	0.9926437230	0.9932465912
15.5	0.9926198718	0.9932712194
16	0.9925841938	0.9933277047
16.5	0.9925795105	0.9933011401
17	0.9925956263	0.9933246462
17.5	0.9926336535	0.9931650542
18	0.9926595031	0.9931198659
18.5	0.9926906244	0.9930033765
19	0.9927682841	0.9929154815
19.5	0.9927274797	0.9928614450
20	0.9927334879	0.9928403195
